"Player","Team","Positions","IP","K","W","SV","ERA","WHIP","ER","H","BB","HR","G","GS","L","CG"
"Kevin Ginkel","ARI","RP","62.8","65","3","5","3.86","1.29","27","57","24","6","60","0","3","0"
"Brad Keller","PHI","RP","67.7","62","4","2","4.03","1.33","30","63","27","7","63","0","4","0"
"Patrick Corbin","","SP","138.8","111","7","0","4.88","1.41","75","149","47","21","26","26","10","0"
"Johan Oviedo","BOS","SP","105.9","102","6","0","4.26","1.32","50","95","45","14","41","15","5","0"
"Aaron Civale","","SP,RP","124.0","107","7","0","4.56","1.30","63","122","39","19","24","23","8","0"
"Andrew Kittredge","BAL","RP","67.3","67","4","5","3.69","1.19","28","62","18","9","66","0","3","0"
"Quinn Mathews","STL","SP","45.4","41","2","0","4.57","1.53","23","42","28","5","9","9","3","0"
"Jose Quintana","","SP","130.6","94","8","0","4.63","1.42","67","135","51","17","24","24","8","0"
"Kyle Leahy","STL","RP","117.4","96","5","0","4.29","1.35","56","117","42","14","43","16","6","0"
"Jake Irvin","WSH","SP","152.3","111","7","0","4.86","1.36","82","157","50","25","32","26","10","0"
"Griffin Canning","","SP","129.4","113","8","0","4.56","1.37","66","128","49","19","25","24","8","0"
"Louis Varland","TOR","RP","67.6","67","4","2","3.73","1.22","28","63","20","8","63","0","3","0"
"Brad Lord","WSH","SP,RP","135.0","104","7","0","4.43","1.35","66","136","47","17","32","24","8","0"
"Martin Perez","ATL","SP","59.7","46","3","0","4.69","1.43","31","63","22","8","11","11","4","0"
"Marcus Stroman","","SP","122.6","87","7","0","4.74","1.45","65","129","48","15","23","23","8","0"
"A.J. Minter","NYM","RP","55.6","62","4","2","3.41","1.17","21","46","19","6","52","0","3","0"
"Kutter Crawford","BOS","SP","79.3","75","4","0","4.26","1.21","38","73","23","12","44","6","4","0"
"Randy Vasquez","SD","SP","137.6","91","7","0","4.91","1.42","75","145","50","20","27","27","9","0"
"Lucas Erceg","KC","RP","63.5","60","4","3","3.72","1.28","26","58","24","6","62","0","4","0"
"Corbin Burnes","ARI","SP","43.3","41","3","0","3.68","1.20","18","39","14","5","7","7","2","0"
"Cristian Mena","ARI","SP,RP","31.3","29","2","0","4.13","1.35","14","30","12","4","17","3","2","0"
"Anthony Kay","CWS","SP,RP","133.3","109","6","0","4.57","1.40","68","133","54","19","24","24","9","1"
"Joe Jimenez","ATL","RP","43.4","50","2","0","3.77","1.20","18","37","15","5","43","0","2","0"
"Eric Lauer","TOR","SP,RP","57.0","54","3","0","4.26","1.26","27","54","18","9","40","2","3","0"
"Cade Povich","BAL","SP","45.8","44","2","0","4.22","1.31","21","44","16","6","17","7","2","0"
"Jason Alexander","HOU","SP,RP","52.9","41","3","0","4.55","1.38","27","55","18","7","27","6","3","0"
"Cole Sands","MIN","SP,RP","68.4","66","4","3","3.97","1.23","30","64","20","8","66","0","4","0"
"German Marquez","","SP","126.4","92","6","0","5.20","1.45","73","139","44","20","24","24","10","0"
"Mitch Farris","LAA","SP","31.6","29","1","0","4.96","1.47","17","31","15","5","6","6","2","0"
"Tomoyuki Sugano","","SP","139.3","92","8","0","4.83","1.35","75","155","34","24","26","26","10","1"
"Tyler Anderson","","SP","138.6","107","7","0","4.94","1.42","76","141","56","23","25","25","9","0"
"Hunter Harvey","CHC","RP","51.1","55","3","4","3.40","1.13","19","43","15","5","50","0","2","0"
"Jon Gray","","RP","78.6","68","5","0","4.55","1.32","40","78","26","12","15","15","5","0"
"Robert Gasser","MIL","SP","89.6","84","5","0","4.02","1.24","40","83","28","12","37","12","5","0"
"Elmer Rodriguez","NYY","SP","9.8","9","1","0","4.23","1.32","5","9","4","1","10","0","1","0"
"Rhett Lowder","CIN","SP","73.6","58","3","0","4.48","1.34","37","75","24","10","26","11","4","0"
"Aaron Ashby","MIL","RP","66.0","68","3","0","3.71","1.36","27","58","32","5","57","0","3","0"
"Gabe Speier","SEA","RP","58.5","69","3","0","3.32","1.10","22","47","17","7","62","0","3","0"
"Felix Bautista","BAL","RP","12.2","16","1","0","3.23","1.17","4","9","6","1","12","0","1","0"
"Cole Winn","TEX","RP","63.5","54","3","4","4.33","1.38","31","58","30","8","57","0","3","0"
"Trevor McDonald","SF","SP,RP","61.4","48","3","0","4.39","1.37","30","62","22","7","20","9","4","0"
"J.T. Ginn","ATH","SP,RP","89.5","83","4","0","4.28","1.33","43","87","32","12","27","15","5","0"
"Ryan Bergert","KC","SP","65.3","54","3","0","4.69","1.40","34","65","27","9","26","9","3","0"
"Josiah Gray","WSH","SP","111.7","95","5","0","4.94","1.41","61","110","47","19","21","21","8","0"
"Justin Sterner","ATH","RP","66.5","67","3","7","4.26","1.27","31","60","24","10","63","0","3","0"
"Sawyer Gipson-Long","DET","SP,RP","50.6","46","2","0","4.14","1.23","23","48","14","7","32","4","3","0"
"Seth Halvorsen","COL","RP","61.1","56","3","6","4.65","1.47","32","62","28","8","59","0","4","0"
"Justin Wrobleski","LAD","RP","54.3","50","3","0","4.21","1.30","25","52","19","7","34","3","2","0"
"Connor Phillips","CIN","RP","53.8","57","3","1","4.59","1.40","27","48","28","8","49","0","3","0"
"Bryan Baker","TB","RP","65.3","73","3","2","3.94","1.22","29","56","24","9","64","0","3","0"
"Richard Fitts","STL","SP","102.5","79","5","0","4.50","1.34","51","104","33","15","32","17","6","0"
"Carmen Mlodzinski","PIT","SP,RP","73.9","64","4","0","3.91","1.31","32","71","26","7","33","8","4","0"
"Foster Griffin","WSH","RP","136.1","124","7","0","4.16","1.28","63","131","43","17","31","23","8","0"
"Janson Junk","MIA","SP,RP","95.1","69","5","0","4.37","1.28","46","100","22","12","35","13","5","0"
"Noah Schultz","CWS","SP","16.6","14","1","0","4.55","1.44","8","17","8","2","3","3","1","0"
"Bryce Elder","ATL","SP","68.6","57","4","0","4.55","1.36","35","70","23","9","18","11","4","0"
"Kai-Wei Teng","HOU","SP,RP","31.9","32","2","0","4.47","1.38","16","29","14","4","20","3","2","0"
"Hayden Birdsong","SF","SP,RP","56.2","56","3","0","4.60","1.41","29","51","28","8","22","8","3","0"
"Hagen Smith","CWS","SP","13.8","15","1","0","4.55","1.55","7","10","12","1","3","3","1","0"
"Kyle Harrison","BOS","SP,RP","53.2","54","3","0","4.18","1.32","25","49","21","7","39","2","2","0"
"Mason Montgomery","PIT","RP","61.6","66","3","1","4.08","1.34","28","57","26","7","60","0","3","0"
"Hogan Harris","ATH","RP","67.3","65","3","9","4.37","1.40","33","62","32","8","58","0","3","0"
"Steven Matz","TB","RP","125.2","105","6","0","4.17","1.28","58","127","34","17","34","20","7","0"
"Justin Topa","MIN","RP","64.4","53","3","7","4.03","1.33","29","65","20","6","63","0","3","0"
"Mark Leiter Jr.","ATH","RP","64.6","70","4","5","4.17","1.32","30","61","25","8","64","0","4","0"
"Tobias Myers","NYM","SP,RP","56.8","48","3","0","4.17","1.28","26","56","17","8","36","4","3","0"
"AJ Blubaugh","HOU","SP,RP","45.8","42","2","0","4.51","1.36","23","43","20","7","33","2","3","0"
"Chase Dollander","COL","SP","124.3","107","5","0","5.27","1.50","73","130","57","19","24","24","10","0"
"Tanner McDougal","CWS","SP","29.4","25","1","0","4.63","1.43","15","28","14","4","11","5","1","0"
"Michael Kopech","","RP","41.4","45","2","0","4.53","1.41","21","34","24","6","41","0","2","0"
"Ryan Weiss","HOU","SP","77.9","76","4","0","4.37","1.33","38","73","31","11","33","9","5","0"
"Tyler Kinley","ATL","RP","63.7","69","3","0","4.12","1.30","29","56","27","8","66","0","3","0"
"Stephen Kolek","KC","SP","80.5","57","4","0","4.29","1.36","38","84","25","8","36","9","4","1"
"Sean Newcomb","CWS","SP,RP","94.4","86","4","0","4.14","1.36","43","90","39","11","45","11","5","0"
"Gage Jump","ATH","SP","22.9","20","1","0","4.49","1.33","11","22","8","3","4","4","2","0"
"River Ryan","LAD","SP","36.7","31","2","0","4.53","1.37","18","36","15","5","11","6","2","0"
"Alek Manoah","LAA","SP","95.0","80","4","0","4.94","1.41","52","94","41","15","18","18","7","0"
"Cody Bradford","TEX","SP","44.1","38","2","0","4.19","1.19","21","42","10","7","20","5","3","0"
"JR Ritchie","ATL","SP","13.5","11","1","0","4.37","1.37","7","13","6","2","3","3","1","0"
"Fernando Cruz","NYY","RP","61.1","83","4","2","3.70","1.23","25","47","28","7","60","0","3","0"
"Cole Henry","WSH","RP","64.4","61","2","11","4.79","1.45","34","59","34","9","67","0","3","0"
"Jason Adam","SD","RP","50.3","54","3","0","3.46","1.17","19","41","18","5","50","0","2","0"
"Didier Fuentes","ATL","SP","9.1","9","0","0","4.40","1.32","4","9","3","1","7","1","1","0"
"Hunter Barco","PIT","SP,RP","103.6","95","5","0","4.16","1.35","48","96","44","12","34","16","5","0"
"Jose Alvarado","PHI","RP","60.2","68","4","3","3.51","1.24","23","51","24","6","58","0","3","0"
"David Festa","MIN","SP","46.1","48","2","0","4.08","1.26","21","42","16","6","26","4","3","0"
"Brody Hopkins","TB","SP","10.7","10","1","0","4.63","1.47","5","10","6","1","2","2","1","0"
"Coleman Crow","MIL","SP","28.2","28","2","0","3.78","1.21","12","25","9","3","19","2","1","0"
"Ethan Pecko","HOU","SP","10.9","10","1","0","4.13","1.38","5","10","6","2","3","3","1","0"
"Luis Perales","WSH","SP,RP","30.6","30","1","0","4.40","1.41","15","28","15","3","19","3","2","0"
"Carson Whisenhunt","SF","SP","28.5","23","1","0","4.42","1.37","14","29","10","4","13","4","2","0"
"Trey Gibson","BAL","SP","9.5","9","0","0","4.41","1.35","5","9","4","1","2","2","1","0"
"Hunter Gaddis","CLE","RP","67.8","65","3","3","3.85","1.21","29","61","21","9","65","0","3","0"
"Drey Jameson","ARI","RP","50.4","46","3","1","4.19","1.38","23","49","20","6","47","0","3","0"
"Orion Kerkering","PHI","RP","64.0","69","4","1","3.44","1.21","24","55","23","6","64","0","3","0"
"Juan Mejia","COL","RP","65.9","68","3","2","4.54","1.42","33","63","31","8","65","0","4","0"
"Ricky Tiedemann","TOR","SP","31.6","33","2","0","4.37","1.38","15","29","15","4","14","5","2","0"
"Ben Casparius","LAD","SP,RP","53.8","51","3","0","4.45","1.33","27","51","20","8","46","0","3","0"
"Caden Dana","LAA","SP","90.1","79","5","0","5.07","1.44","51","89","41","16","17","17","7","0"
"Daniel Espino","CLE","SP","24.0","26","1","0","4.31","1.44","12","23","12","4","19","2","1","0"
"Mitch Bratt","ARI","SP","24.6","21","1","0","4.42","1.31","12","25","7","4","5","5","1","0"
"Ty Johnson","TB","SP,RP","24.3","25","1","0","4.16","1.26","11","21","9","3","5","5","2","0"
"Alex Vesia","LAD","RP","63.6","80","4","1","3.55","1.16","25","48","25","9","64","0","3","0"
"Gunnar Hoglund","ATH","SP","43.2","32","2","0","4.92","1.36","24","45","14","7","18","5","2","0"
"Jarlin Susana","WSH","SP","9.0","12","1","0","4.48","1.55","5","7","7","1","2","2","1","0"
"George Klassen","LAA","SP","22.6","21","1","0","4.60","1.43","12","22","11","3","13","2","2","0"
"Drew Anderson","DET","RP","96.3","101","5","0","4.20","1.30","45","85","40","13","32","14","5","0"
"Ryan Zeferjahn","LAA","RP","64.4","71","3","1","4.43","1.39","32","56","33","9","64","0","4","0"
"Dylan Lee","ATL","RP","66.1","74","3","1","3.58","1.16","26","58","19","9","65","0","3","0"
"Yariel Rodriguez","TOR","RP","39.0","39","2","0","4.09","1.33","18","33","18","5","37","0","2","0"
"Yimi Garcia","TOR","RP","58.4","65","3","5","3.80","1.19","25","49","21","7","59","0","3","0"
"Manuel Rodriguez","TB","RP","17.2","16","1","0","3.82","1.26","7","16","6","2","17","0","1","0"
"Keegan Akin","BAL","SP,RP","67.3","68","4","2","4.04","1.27","30","61","25","9","65","0","3","0"
"Ryan Yarbrough","NYY","SP,RP","65.8","53","3","0","4.34","1.26","32","64","19","10","46","2","3","0"
"Tyler Phillips","MIA","RP","70.2","51","3","2","4.39","1.39","34","73","24","8","60","0","3","0"
"Brooks Raley","NYM","RP","60.0","60","3","1","3.70","1.21","25","52","21","6","63","0","3","0"
"Connor Prielipp","MIN","SP","57.2","54","3","0","4.21","1.37","27","56","22","7","42","3","3","0"
"Michael Lorenzen","COL","SP,RP","143.6","113","6","0","5.11","1.44","82","154","52","24","26","26","9","0"
"Bobby Miller","LAD","SP","22.8","21","1","0","4.66","1.40","12","22","10","3","20","0","1","0"
"Blade Tidwell","SF","SP,RP","33.0","29","2","0","4.45","1.37","16","32","13","4","18","3","2","0"
"Mike Vasil","CWS","SP,RP","78.7","62","3","1","4.45","1.40","39","77","33","10","62","1","4","0"
"Miguel Ullola","HOU","SP,RP","19.1","20","1","0","4.37","1.40","9","16","10","3","19","0","1","0"
"Nate Pearson","HOU","RP","51.6","51","2","0","4.36","1.35","25","47","22","7","49","0","3","0"
"Matt Festa","CLE","RP","59.6","59","3","0","4.02","1.26","27","53","22","7","59","0","3","0"
"Keider Montero","DET","SP,RP","80.7","67","4","0","4.56","1.35","41","81","28","12","32","10","5","0"
"Tink Hence","STL","SP","14.6","14","1","0","4.23","1.36","7","13","6","2","4","3","1","0"
"Zach Maxwell","CIN","RP","45.2","47","2","0","4.55","1.46","23","41","25","6","44","0","2","0"
"David Davalillo","TEX","SP","16.3","15","1","0","3.86","1.23","7","14","7","2","4","4","1","1"
"Hunter Dobbins","STL","SP","92.7","68","4","0","4.44","1.36","46","95","31","11","28","14","5","0"
"Drew Pomeranz","LAA","SP,RP","57.3","62","3","3","3.90","1.24","25","51","20","7","60","0","3","0"
"Nestor Cortes Jr.","","SP","31.2","28","2","0","4.52","1.28","16","30","10","6","6","6","2","0"
"Walker Buehler","","SP","122.5","97","6","0","5.09","1.46","69","129","51","20","23","23","9","0"
"Porter Hodge","CHC","RP","49.0","54","3","1","4.12","1.37","22","41","26","6","47","0","3","0"
"Gavin Stone","LAD","SP","27.4","24","2","0","4.29","1.29","13","27","9","4","13","2","1","0"
"Edgardo Henriquez","LAD","RP","31.7","34","2","0","4.23","1.37","15","28","15","4","33","0","2","0"
"Jordan Montgomery","","SP","82.6","66","5","0","4.49","1.35","41","85","27","11","15","15","5","0"
"Joey Wentz","ATL","SP,RP","50.1","49","3","0","4.58","1.40","26","50","20","7","30","4","3","0"
"Graham Ashcraft","CIN","RP","65.7","59","4","2","3.92","1.31","29","64","22","6","59","0","3","0"
"Carlos Lagrange","NYY","SP","9.3","10","1","0","4.37","1.62","5","8","8","1","2","2","1","0"
"Blake Treinen","LAD","RP","58.6","65","4","1","3.82","1.25","25","51","22","7","61","0","3","0"
"Chase Petty","CIN","SP","47.8","36","2","0","5.19","1.53","28","51","22","7","28","4","4","0"
"Ben Hess","NYY","SP","9.3","9","1","0","4.34","1.39","5","9","5","2","2","2","1","0"
"DL Hall","MIL","SP,RP","53.2","51","3","0","4.10","1.36","24","48","24","6","45","0","2","0"
"Brant Hurter","DET","SP,RP","57.0","51","3","0","3.75","1.25","24","54","18","6","47","0","3","0"
"David Robertson","","RP","48.8","56","2","4","3.87","1.27","21","43","20","6","47","0","3","0"
"Bryan King","HOU","RP","66.2","65","4","0","3.60","1.20","27","60","20","8","67","0","3","0"
"Justin Lawrence","PIT","RP","57.0","55","3","1","4.13","1.38","26","52","27","5","53","0","3","0"
"Bowden Francis","TOR","SP","38.1","36","2","0","4.39","1.24","19","35","12","6","25","3","2","0"
"Lucas Braun","ATL","SP","12.8","11","1","0","4.23","1.25","6","12","4","2","3","3","1","0"
"Luis Mey","CIN","RP","37.1","35","2","0","4.63","1.54","19","34","23","4","38","0","2","0"
"Joel Peguero","SF","RP","61.4","51","3","3","4.42","1.43","30","62","26","7","59","0","3","0"
"Lake Bachar","MIA","RP","56.7","57","3","0","4.33","1.36","27","53","24","8","53","0","3","0"
"Adbert Alzolay","NYM","RP","48.7","47","3","0","4.20","1.26","23","45","16","7","49","0","3","0"
"Emiliano Teodo","TEX","RP","14.0","14","1","0","4.66","1.53","7","12","9","2","13","0","1","0"
"Tony Gonsolin","","SP","16.6","16","1","0","4.57","1.35","8","15","7","3","4","3","1","0"
"Isaac Mattson","PIT","RP","64.2","62","3","2","4.19","1.35","30","58","29","8","60","0","3","0"
"Andrew Walters","CLE","RP","31.6","37","2","0","4.07","1.34","14","26","16","4","31","0","2","0"
"Tyler Holton","DET","SP,RP","72.2","60","4","1","3.64","1.16","29","66","18","9","67","0","3","0"
"Jared Koenig","MIL","RP","66.1","67","4","1","3.56","1.23","26","58","23","7","65","0","3","0"
"Caleb Thielbar","CHC","RP","64.5","66","4","1","3.73","1.20","27","56","21","8","67","0","3","0"
"Eduard Bazardo","SEA","RP","67.9","70","3","1","3.67","1.19","28","58","23","8","66","0","3","0"
"Chris Martin","TEX","RP","53.9","53","3","3","3.42","1.15","20","50","11","6","53","0","3","0"
"Steven Okert","HOU","RP","64.4","73","3","0","3.87","1.19","28","54","23","9","66","0","3","0"
"Taylor Rogers","MIN","RP","60.3","62","3","11","4.14","1.35","28","55","26","8","61","0","3","0"
"Chris Paddack","","SP,RP","113.7","86","6","0","4.79","1.32","61","121","29","19","21","21","7","0"
"Jakob Junis","TEX","RP","65.7","57","3","2","4.00","1.22","29","63","17","8","58","0","3","0"
"Ryan Thompson","ARI","RP","62.7","51","4","3","3.88","1.30","27","62","19","6","61","0","3","0"
"Logan Allen","CLE","SP","120.3","97","6","0","4.53","1.41","61","123","47","17","26","22","8","0"
"Angel Zerpa","MIL","RP","61.2","56","3","0","3.60","1.26","24","57","20","6","61","0","3","0"
"Bennett Sousa","HOU","RP","49.8","55","3","0","3.59","1.19","20","42","17","6","48","0","2","0"
"Justin Slaten","BOS","RP","60.9","57","4","0","3.98","1.26","27","57","20","7","57","0","3","0"
"Tanner Banks","PHI","RP","63.2","59","3","0","3.96","1.23","28","60","18","8","61","0","3","0"
"Aaron Bummer","ATL","RP","60.6","62","3","0","3.67","1.30","25","57","22","5","58","0","3","0"
"Brusdar Graterol","LAD","RP","50.5","42","3","0","3.39","1.20","19","46","14","4","52","0","2","0"
"Andrew Nardi","MIA","RP","49.3","60","3","0","3.74","1.23","21","41","19","6","51","0","2","0"
"Kody Funderburk","MIN","RP","63.4","60","3","4","3.89","1.35","27","60","26","6","61","0","3","0"
"Greg Weissert","BOS","RP","65.2","58","4","1","4.14","1.31","30","63","23","8","65","0","3","0"
"Andrew Alvarez","WSH","SP","113.6","82","5","0","4.43","1.40","56","115","44","13","40","17","6","0"
"Hoby Milner","CHC","RP","62.3","53","3","0","3.86","1.27","27","61","18","7","62","0","3","0"
"Anthony Bender","MIA","RP","61.8","58","3","1","3.91","1.30","27","57","24","6","63","0","3","0"
"Erik Miller","SF","RP","59.2","63","3","1","3.68","1.37","24","49","31","5","60","0","3","0"
"Tommy Nance","TOR","RP","56.5","54","3","0","3.86","1.26","24","53","18","6","55","0","2","0"
"Julian Fernandez","WSH","RP","56.9","57","3","2","4.03","1.28","26","52","21","7","55","0","3","0"
"Erik Sabrowski","CLE","RP","60.3","74","3","0","3.92","1.37","26","48","34","7","59","0","3","0"
"Brendon Little","TOR","RP","54.3","60","3","0","3.57","1.36","22","45","29","4","56","0","3","0"
"Braydon Fisher","TOR","RP","51.6","59","3","0","3.83","1.29","22","43","23","6","51","0","2","0"
"Mason Englert","TB","RP","61.2","57","3","0","4.10","1.26","28","59","18","8","54","0","3","0"
"John Schreiber","KC","RP","64.3","59","3","1","4.10","1.30","29","61","23","8","67","0","3","0"
"David Morgan","SD","RP","62.8","64","3","0","4.07","1.31","28","56","26","8","59","0","3","0"
"Jose Butto","SF","SP,RP","64.1","58","3","2","4.03","1.33","29","59","27","7","57","0","3","0"
"Justin Wilson","","RP","48.7","52","3","0","3.74","1.27","20","44","18","6","50","0","2","0"
"Pierce Johnson","CIN","RP","61.4","67","3","1","4.19","1.32","29","57","24","9","61","0","3","0"
"Jimmy Herget","COL","RP","79.4","72","3","2","4.41","1.33","39","80","26","11","71","1","4","0"
"Yoendrys Gomez","TB","SP,RP","75.6","73","4","0","4.48","1.35","38","70","31","11","38","8","4","0"
"Yennier Cano","BAL","RP","51.5","47","3","1","3.75","1.30","21","49","18","5","53","0","3","0"
"Jake Bird","NYY","RP","55.1","57","3","0","3.96","1.31","24","49","23","6","52","0","3","0"
